"You can get this product on %s (%s) if you buy it now!","Du erhältst diese Produkt am %s (%s), wenn du es jetzt bestellst."
Enabled,Aktiviert
None,Keine
Position,Reihenfolge
Popular,Beliebt
"Free Shipping","Kostenloser Versand"
"Top Spec","Top Wert"
Quantity,Menge
"Product Listing Sort by","Artikelauflistung sortiert nach"
"Free shipping","Kostenloser Versand"
"<span>Hurry up!</span> Only <span>1 product</span> available!","<span>Beeile dich!</span> Nur noch <span>1 Produkt</span> übrig."
"<span>Hurry up!</span> Only <span>%1 products</span> available!","<span>Beeile dich!</span> Nur noch <span>%1 Produkte</span> übrig."
