Enabled,Aktiviert
None,Keine
Position,Reihenfolge
Popular,Beliebt
"Free Shipping","Kostenloser Versand"
"Top Spec","Top Wert"
Quantity,Menge
"Product Listing Sort by","Artikelauflistung sortiert nach"
"Free shipping","Kostenloser Versand"
"<span>Hurry up!</span> Only <span>1 product</span> available!","<span>Beeile dich!</span> Nur noch <span>1 Producte</span> übrig."
"<span>Hurry up!</span> Only <span>%1 products</span> available!","<span>Beeile dich!</span> Nur noch <span>%1 Produkten</span> übrig."
